Inf_IdInfraestructura;Ofi_CorreoElectronico;Ofi_Teléfono;Inf_Nombre
23;orientacionpsicologica@example.com;57089569;Oficina de Orientación Psicológica
24;orientacionacademica@example.com;57089589;Oficina de Orientación Académica
25;serviciosocial@example.com;57089609;Oficina de Servicio Social
26;actividadesculturales@example.com;57089629;Oficina de Actividades Culturales
27;deporteuniversitario@example.com;57089649;Oficina de Deporte Universitario
28;promocionsalud@example.com;57089669;Oficina de Promoción de la Salud
29;bienestarestudiantil@example.com;57089689;Oficina de Bienestar Estudiantil
30;apoyosocioeconomico@example.com;57089709;Oficina de Apoyo Socioeconómico
31;asuntosinternacionales@example.com;57089729;Oficina de Asuntos Internacionales
32;inclusiondiversidad@example.com;57089749;Oficina de Inclusión y Diversidad
33;desarrolloprofesional@example.com;57089769;Oficina de Desarrollo Profesional
34;relacionesestudiantiles@example.com;57089789;Oficina de Relaciones Estudiantiles
35;desarrollosostenible@example.com;57089809;Oficina de Desarrollo Sostenible
36;arteycultura@example.com;57089829;Oficina de Arte y Cultura
37;innovacioneducativa@example.com;57089849;Oficina de Innovación Educativa
38;tecnologiaseducativas@example.com;57089869;Oficina de Tecnologías Educativas
39;investigacionestudiantil@example.com;57089889;Oficina de Investigación Estudiantil
40;emprendimiento@example.com;57089909;Oficina de Emprendimiento
41;vidaestudiantil@example.com;57089929;Oficina de Vida Estudiantil
42;activismoestudiantil@example.com;57089949;Oficina de Activismo Estudiantil
